2020-07-05 17:00:00,0.00297700,0.00325000,0.00287300,0.00300600,67746851.00000000
2020-07-06 17:00:00,0.00299900,0.00326700,0.00294000,0.00308300,62345639.00000000
2020-07-07 17:00:00,0.00308300,0.00419000,0.00304000,0.00392500,637228419.00000000
2020-07-08 17:00:00,0.00393000,0.00400000,0.00333600,0.00356700,378145962.00000000
2020-07-09 17:00:00,0.00356100,0.00356100,0.00319000,0.00338100,198208720.00000000
2020-07-10 17:00:00,0.00339300,0.00385000,0.00331100,0.00352300,125219188.00000000
2020-07-11 17:00:00,0.00351900,0.00359500,0.00325000,0.00348100,99774260.00000000
2020-07-12 17:00:00,0.00348100,0.00353200,0.00333300,0.00334800,112486413.00000000
2020-07-13 17:00:00,0.00334200,0.00348700,0.00325300,0.00332900,72144595.00000000
2020-07-14 17:00:00,0.00332900,0.00354500,0.00332900,0.00347500,105798453.00000000
2020-07-15 17:00:00,0.00348100,0.00371500,0.00319000,0.00333800,145930631.00000000
2020-07-16 17:00:00,0.00333700,0.00338900,0.00326700,0.00330400,51934250.00000000
2020-07-17 17:00:00,0.00330400,0.00353700,0.00326900,0.00345700,102849076.00000000
2020-07-18 17:00:00,0.00346200,0.00352900,0.00334900,0.00340500,65374912.00000000
2020-07-19 17:00:00,0.00340700,0.00344000,0.00332100,0.00335600,76165900.00000000
2020-07-20 17:00:00,0.00335600,0.00340400,0.00326900,0.00328800,78037787.00000000
2020-07-21 17:00:00,0.00328800,0.00331900,0.00322700,0.00329800,109373217.00000000
2020-07-22 17:00:00,0.00329800,0.00331200,0.00320000,0.00324100,78652269.00000000
2020-07-23 17:00:00,0.00324100,0.00327000,0.00301900,0.00314600,140111265.00000000
2020-07-24 17:00:00,0.00315800,0.00329000,0.00308500,0.00314100,97168025.00000000
2020-07-25 17:00:00,0.00315100,0.00319700,0.00308700,0.00313600,57609957.00000000
2020-07-26 17:00:00,0.00312000,0.00370000,0.00288200,0.00307600,203362697.00000000
2020-07-27 17:00:00,0.00304800,0.00315200,0.00289000,0.00309000,191896174.00000000
2020-07-28 17:00:00,0.00309000,0.00334900,0.00300200,0.00318500,158517406.00000000
2020-07-29 17:00:00,0.00316100,0.00324700,0.00306000,0.00314800,98023891.00000000
2020-07-30 17:00:00,0.00316500,0.00319500,0.00299900,0.00303200,111979472.00000000
2020-07-31 17:00:00,0.00303800,0.00332000,0.00300200,0.00328800,238033234.00000000
2020-08-01 17:00:00,0.00329000,0.00336900,0.00300900,0.00315800,143628375.00000000
2020-08-02 17:00:00,0.00315500,0.00324400,0.00311500,0.00313000,93527358.00000000
2020-08-03 17:00:00,0.00313300,0.00319300,0.00310000,0.00315000,76095443.00000000
2020-08-04 17:00:00,0.00316900,0.00321600,0.00312300,0.00320000,68974432.00000000
2020-08-05 17:00:00,0.00320000,0.00323700,0.00314600,0.00321600,76685363.00000000
2020-08-06 17:00:00,0.00321700,0.00325000,0.00309000,0.00318300,102685987.00000000
2020-08-07 17:00:00,0.00317000,0.00323000,0.00311200,0.00320000,84835320.00000000
2020-08-08 17:00:00,0.00320500,0.00328000,0.00310100,0.00325800,158332079.00000000
2020-08-09 17:00:00,0.00325800,0.00364000,0.00319100,0.00353900,283717681.00000000
2020-08-10 17:00:00,0.00354900,0.00362000,0.00310000,0.00325700,261581941.00000000
2020-08-11 17:00:00,0.00326400,0.00332200,0.00316300,0.00331300,105808444.00000000
2020-08-12 17:00:00,0.00331800,0.00339000,0.00323000,0.00338300,148864700.00000000
2020-08-13 17:00:00,0.00338500,0.00340300,0.00329700,0.00340300,122100816.00000000
2020-08-14 17:00:00,0.00338800,0.00376200,0.00333800,0.00355600,310305973.00000000
2020-08-15 17:00:00,0.00357000,0.00370000,0.00349400,0.00369800,194188323.00000000
2020-08-16 17:00:00,0.00367800,0.00413900,0.00365100,0.00377700,351073238.00000000
2020-08-17 17:00:00,0.00375800,0.00389500,0.00352400,0.00366200,197059146.00000000
2020-08-18 17:00:00,0.00365500,0.00380000,0.00343900,0.00345900,131440953.00000000
2020-08-19 17:00:00,0.00345900,0.00370600,0.00341100,0.00367800,83966826.00000000
2020-08-20 17:00:00,0.00367800,0.00398800,0.00346200,0.00370800,284884143.00000000
2020-08-21 17:00:00,0.00370800,0.00389900,0.00352100,0.00381100,130109347.00000000
2020-08-22 17:00:00,0.00382900,0.00452100,0.00373000,0.00432300,348817316.00000000
2020-08-23 17:00:00,0.00432300,0.00460000,0.00403000,0.00407100,417349502.00000000
2020-08-24 17:00:00,0.00405700,0.00412400,0.00356800,0.00369900,285177088.00000000
