2019-03-24 17:00:00,0.03000000,0.04000000,0.02236000,0.02423000,3386556692.80000000
2019-03-25 17:00:00,0.02420000,0.02479000,0.01761000,0.01814000,2153929585.20000000
2019-03-26 17:00:00,0.01814000,0.02488000,0.01653000,0.02277000,1576808988.30000000
2019-03-27 17:00:00,0.02275000,0.02388000,0.02104000,0.02293000,754926790.10000000
2019-03-28 17:00:00,0.02292000,0.02471000,0.02069000,0.02095000,928831985.50000000
2019-03-29 17:00:00,0.02098000,0.02187000,0.01929000,0.02018000,378045855.80000000
2019-03-30 17:00:00,0.02019000,0.02108000,0.01949000,0.01967000,134442726.60000000
2019-03-31 17:00:00,0.01965000,0.02009000,0.01881000,0.01935000,184913764.40000000
2019-04-01 17:00:00,0.01933000,0.02260000,0.01901000,0.02007000,454816118.60000000
2019-04-02 17:00:00,0.02006000,0.02099000,0.01736000,0.01881000,307329249.00000000
2019-04-03 17:00:00,0.01881000,0.01979000,0.01800000,0.01883000,128659390.60000000
2019-04-04 17:00:00,0.01885000,0.01986000,0.01859000,0.01900000,86810288.90000000
2019-04-05 17:00:00,0.01898000,0.01935000,0.01813000,0.01835000,217721772.40000000
2019-04-06 17:00:00,0.01835000,0.01895000,0.01806000,0.01857000,83665025.50000000
2019-04-07 17:00:00,0.01855000,0.01885000,0.01693000,0.01754000,126850648.70000000
2019-04-08 17:00:00,0.01754000,0.02005000,0.01655000,0.01806000,389787109.60000000
2019-04-09 17:00:00,0.01805000,0.01955000,0.01708000,0.01796000,210663746.10000000
2019-04-10 17:00:00,0.01796000,0.01896000,0.01673000,0.01789000,229916276.00000000
2019-04-11 17:00:00,0.01789000,0.01910000,0.01738000,0.01815000,249665800.90000000
2019-04-12 17:00:00,0.01814000,0.01898000,0.01788000,0.01831000,87994090.60000000
2019-04-13 17:00:00,0.01830000,0.01834000,0.01725000,0.01768000,90617494.30000000
2019-04-14 17:00:00,0.01768000,0.01811000,0.01694000,0.01704000,104430561.60000000
2019-04-15 17:00:00,0.01702000,0.01780000,0.01687000,0.01719000,58355019.80000000
2019-04-16 17:00:00,0.01719000,0.01900000,0.01711000,0.01800000,208995738.60000000
2019-04-17 17:00:00,0.01798000,0.01840000,0.01759000,0.01783000,106119652.80000000
2019-04-18 17:00:00,0.01781000,0.01811000,0.01740000,0.01766000,74938167.40000000
2019-04-19 17:00:00,0.01770000,0.01793000,0.01730000,0.01774000,46744133.20000000
2019-04-20 17:00:00,0.01773000,0.01863000,0.01680000,0.01747000,187977881.50000000
2019-04-21 17:00:00,0.01742000,0.01809000,0.01711000,0.01777000,98181800.50000000
2019-04-22 17:00:00,0.01776000,0.01849000,0.01722000,0.01722000,116472785.80000000
2019-04-23 17:00:00,0.01723000,0.01742000,0.01341000,0.01427000,425913465.00000000
2019-04-24 17:00:00,0.01427000,0.01461000,0.01200000,0.01234000,283595912.00000000
2019-04-25 17:00:00,0.01230000,0.01259000,0.01098000,0.01148000,204555180.50000000
2019-04-26 17:00:00,0.01147000,0.01195000,0.01059000,0.01145000,121958998.20000000
2019-04-27 17:00:00,0.01145000,0.01268000,0.01098000,0.01125000,319528412.50000000
2019-04-28 17:00:00,0.01125000,0.01144000,0.00918000,0.00925000,171181355.10000000
2019-04-29 17:00:00,0.00925000,0.01051000,0.00921000,0.00994000,171938896.80000000
2019-04-30 17:00:00,0.00992000,0.01028000,0.00951000,0.00984000,77174570.20000000
2019-05-01 17:00:00,0.00984000,0.01012000,0.00950000,0.00959000,83174583.60000000
2019-05-02 17:00:00,0.00959000,0.00967000,0.00923000,0.00949000,87228546.90000000
2019-05-03 17:00:00,0.00948000,0.00971000,0.00864000,0.00871000,90468291.90000000
2019-05-04 17:00:00,0.00871000,0.00944000,0.00864000,0.00918000,125049216.20000000
2019-05-05 17:00:00,0.00917000,0.00948000,0.00879000,0.00896000,115148435.70000000
2019-05-06 17:00:00,0.00903000,0.00928000,0.00835000,0.00842000,140174163.00000000
2019-05-07 17:00:00,0.00841000,0.00848000,0.00789000,0.00814000,96967673.70000000
2019-05-08 17:00:00,0.00816000,0.00818000,0.00715000,0.00733000,105454686.60000000
2019-05-09 17:00:00,0.00732000,0.00810000,0.00725000,0.00790000,142142472.40000000
2019-05-10 17:00:00,0.00790000,0.00885000,0.00776000,0.00827000,349201840.90000000
2019-05-11 17:00:00,0.00822000,0.01068000,0.00794000,0.00892000,1190797156.90000000
2019-05-12 17:00:00,0.00888000,0.00999000,0.00871000,0.00919000,552109570.00000000
2019-05-13 17:00:00,0.00916000,0.01259000,0.00910000,0.01216000,686353881.60000000
2019-05-14 17:00:00,0.01214000,0.01360000,0.01102000,0.01291000,427598313.40000000
2019-05-15 17:00:00,0.01295000,0.01415000,0.01066000,0.01188000,499110879.40000000
2019-05-16 17:00:00,0.01189000,0.01400000,0.00993000,0.01352000,976073337.20000000
2019-05-17 17:00:00,0.01352000,0.01440000,0.01222000,0.01247000,422020001.70000000
2019-05-18 17:00:00,0.01252000,0.01750000,0.01245000,0.01727000,933299985.50000000
2019-05-19 17:00:00,0.01729000,0.02435000,0.01536000,0.02114000,1865169115.70000000
2019-05-20 17:00:00,0.02117000,0.02599000,0.01660000,0.01793000,2162022685.50000000
2019-05-21 17:00:00,0.01794000,0.01859000,0.01310000,0.01363000,1012826961.20000000
2019-05-22 17:00:00,0.01366000,0.01750000,0.01356000,0.01466000,1243447949.80000000
2019-05-23 17:00:00,0.01465000,0.01570000,0.01320000,0.01354000,390996868.00000000
2019-05-24 17:00:00,0.01356000,0.01447000,0.01257000,0.01384000,439641121.40000000
2019-05-25 17:00:00,0.01383000,0.01596000,0.01326000,0.01419000,638447163.30000000
2019-05-26 17:00:00,0.01419000,0.01477000,0.01301000,0.01356000,280447427.20000000
2019-05-27 17:00:00,0.01356000,0.01475000,0.01333000,0.01414000,355533057.90000000
2019-05-28 17:00:00,0.01414000,0.01451000,0.01317000,0.01412000,249272770.10000000
2019-05-29 17:00:00,0.01408000,0.01630000,0.01314000,0.01379000,506184927.80000000
2019-05-30 17:00:00,0.01380000,0.01785000,0.01380000,0.01660000,911037627.10000000
2019-05-31 17:00:00,0.01660000,0.01910000,0.01612000,0.01807000,640331649.80000000
2019-06-01 17:00:00,0.01801000,0.01920000,0.01686000,0.01735000,375116785.70000000
2019-06-02 17:00:00,0.01738000,0.01768000,0.01560000,0.01578000,387230579.80000000
2019-06-03 17:00:00,0.01576000,0.01750000,0.01501000,0.01623000,459880380.70000000
2019-06-04 17:00:00,0.01627000,0.01992000,0.01623000,0.01907000,798559846.40000000
2019-06-05 17:00:00,0.01909000,0.02062000,0.01753000,0.01842000,555882087.70000000
2019-06-06 17:00:00,0.01843000,0.01972000,0.01807000,0.01910000,224179918.50000000
2019-06-07 17:00:00,0.01911000,0.01994000,0.01836000,0.01966000,190659368.40000000
2019-06-08 17:00:00,0.01966000,0.02048000,0.01760000,0.01848000,308959853.50000000
