2020-09-03 17:00:00,4.12000000,4.12000000,2.59000000,2.93800000,731752.55100000
2020-09-04 17:00:00,2.93800000,3.15000000,1.82600000,2.14300000,2322020.36100000
2020-09-05 17:00:00,2.14300000,2.60000000,1.90200000,2.31600000,1865004.66400000
2020-09-06 17:00:00,2.31600000,2.45000000,1.86000000,2.18900000,1384710.49400000
2020-09-07 17:00:00,2.19900000,2.24600000,1.86100000,1.99500000,870729.73000000
2020-09-08 17:00:00,2.02000000,2.27300000,1.88200000,2.14600000,1039498.17500000
2020-09-09 17:00:00,2.15600000,2.46600000,2.13500000,2.19300000,1296251.85900000
2020-09-10 17:00:00,2.19300000,2.30700000,1.98500000,2.18200000,814701.94300000
2020-09-11 17:00:00,2.18500000,2.98000000,2.05000000,2.75400000,2179260.90600000
2020-09-12 17:00:00,2.75500000,2.98000000,2.15900000,2.37600000,3625029.04700000
2020-09-13 17:00:00,2.37600000,2.95500000,2.25000000,2.70100000,2745960.97900000
2020-09-14 17:00:00,2.69700000,2.93500000,2.29600000,2.40100000,2571952.70700000
2020-09-15 17:00:00,2.40300000,2.51100000,2.03100000,2.16400000,2180834.43500000
2020-09-16 17:00:00,2.17200000,2.31000000,1.88800000,2.02800000,1678727.17000000
2020-09-17 17:00:00,2.02800000,2.23000000,1.81800000,1.90700000,2201299.41700000
2020-09-18 17:00:00,1.91300000,2.18000000,1.81000000,2.13000000,1768520.19900000
2020-09-19 17:00:00,2.13000000,2.13400000,1.82100000,1.87800000,1189882.99100000
2020-09-20 17:00:00,1.87700000,1.94400000,1.36400000,1.47600000,2525410.19000000
2020-09-21 17:00:00,1.47700000,1.60500000,1.28600000,1.47200000,2364515.80500000
2020-09-22 17:00:00,1.47200000,1.51700000,1.18600000,1.20000000,2448407.61400000
2020-09-23 17:00:00,1.20000000,1.55000000,1.16000000,1.50700000,2053976.23300000
2020-09-24 17:00:00,1.50700000,1.68900000,1.36000000,1.60400000,1945754.47700000
2020-09-25 17:00:00,1.60400000,1.74000000,1.47300000,1.52200000,1343975.13100000
2020-09-26 17:00:00,1.51300000,1.57600000,1.31500000,1.43100000,1198951.94600000
2020-09-27 17:00:00,1.43100000,1.53900000,1.25000000,1.35700000,2802375.86700000
2020-09-28 17:00:00,1.35700000,1.41300000,1.13400000,1.20800000,3018150.18900000
2020-09-29 17:00:00,1.20600000,1.52000000,1.11200000,1.43800000,5614275.32600000
2020-09-30 17:00:00,1.43600000,1.53500000,1.21700000,1.40000000,3811256.79200000
2020-10-01 17:00:00,1.39900000,1.40000000,1.16700000,1.30000000,2998730.90000000
2020-10-02 17:00:00,1.30000000,1.36000000,1.25200000,1.25400000,1279206.79400000
2020-10-03 17:00:00,1.26000000,1.29700000,1.20700000,1.25300000,1035046.37200000
2020-10-04 17:00:00,1.25400000,1.26700000,1.17400000,1.19700000,1022721.22400000
2020-10-05 17:00:00,1.19800000,1.20700000,1.01000000,1.02900000,2446272.18700000
2020-10-06 17:00:00,1.02800000,1.17200000,0.91800000,1.06100000,2563411.90400000
2020-10-07 17:00:00,1.06200000,1.22900000,0.98200000,1.22300000,2106276.41600000
2020-10-08 17:00:00,1.22700000,1.35600000,1.18000000,1.26400000,1964742.51900000
2020-10-09 17:00:00,1.26400000,1.34500000,1.19000000,1.30100000,1563632.62400000
2020-10-10 17:00:00,1.30300000,1.51600000,1.29100000,1.48300000,2087427.36300000
2020-10-11 17:00:00,1.48600000,1.59900000,1.31700000,1.51800000,1953906.83300000
2020-10-12 17:00:00,1.51900000,1.58000000,1.42900000,1.52000000,1225138.92000000
2020-10-13 17:00:00,1.51900000,1.61300000,1.37200000,1.42000000,1526801.37700000
2020-10-14 17:00:00,1.41500000,1.42000000,1.24800000,1.35000000,1801095.41400000
2020-10-15 17:00:00,1.35000000,1.39200000,1.20200000,1.21600000,853737.09700000
2020-10-16 17:00:00,1.21500000,1.30500000,1.21300000,1.28500000,671770.61600000
2020-10-17 17:00:00,1.27900000,1.46900000,1.27300000,1.34400000,1335425.10000000
2020-10-18 17:00:00,1.34000000,1.41900000,1.24900000,1.28100000,1457075.17700000
2020-10-19 17:00:00,1.27800000,1.28900000,1.11200000,1.14100000,1313781.75700000
2020-10-20 17:00:00,1.14100000,1.28400000,1.10700000,1.19000000,1954977.62000000
2020-10-21 17:00:00,1.19000000,1.32900000,1.17000000,1.27800000,1701383.65200000
2020-10-22 17:00:00,1.27700000,1.35000000,1.20800000,1.24400000,1000638.67400000
2020-10-23 17:00:00,1.24800000,1.45000000,1.21000000,1.40000000,1560687.50400000
2020-10-24 17:00:00,1.40000000,1.49500000,1.32300000,1.46900000,1993453.94100000
2020-10-25 17:00:00,1.47100000,1.51400000,1.23200000,1.33500000,2178274.75000000
2020-10-26 17:00:00,1.33000000,1.33500000,1.23600000,1.26700000,1323504.79500000
2020-10-27 17:00:00,1.26700000,1.28500000,1.15000000,1.17400000,1323814.34300000
2020-10-28 17:00:00,1.17700000,1.26300000,1.15000000,1.15700000,1158429.48400000
2020-10-29 17:00:00,1.15700000,1.17200000,1.04100000,1.13400000,1333576.60000000
2020-10-30 17:00:00,1.13500000,1.17400000,1.06700000,1.09000000,972426.40500000
2020-10-31 17:00:00,1.08800000,1.14000000,1.07200000,1.13300000,829355.88300000
2020-11-01 16:00:00,1.13200000,1.16000000,1.04700000,1.09000000,1032174.90400000
2020-11-02 16:00:00,1.08800000,1.08900000,0.95500000,0.97300000,1281914.02500000
2020-11-03 16:00:00,0.97700000,1.06800000,0.95000000,1.02200000,1337527.56500000
2020-11-04 16:00:00,1.02000000,1.11000000,0.98000000,1.03200000,1614859.82700000
2020-11-05 16:00:00,1.03200000,1.22900000,1.03000000,1.19900000,2238679.66500000
2020-11-06 16:00:00,1.19500000,1.30000000,1.00100000,1.10000000,3177149.21800000
2020-11-07 16:00:00,1.09700000,1.16700000,1.05800000,1.11800000,1370309.77400000
2020-11-08 16:00:00,1.11900000,1.15900000,1.04200000,1.08100000,2207264.46100000
2020-11-09 16:00:00,1.08000000,1.26000000,1.06600000,1.22600000,3044655.21200000
2020-11-10 16:00:00,1.22700000,1.25400000,1.13200000,1.14800000,2326103.64700000
2020-11-11 16:00:00,1.14800000,1.17000000,1.03300000,1.08700000,2428394.79400000
2020-11-12 16:00:00,1.08600000,1.19500000,1.07800000,1.15900000,1970572.71200000
2020-11-13 16:00:00,1.15900000,1.18000000,1.07600000,1.15100000,2181024.21500000
2020-11-14 16:00:00,1.15100000,1.29300000,1.10900000,1.26400000,4216247.76300000
2020-11-15 16:00:00,1.26500000,1.44300000,1.23200000,1.33900000,5064518.00700000
2020-11-16 16:00:00,1.33900000,1.35400000,1.21400000,1.27400000,2900853.64500000
2020-11-17 16:00:00,1.27500000,1.35000000,1.11500000,1.19600000,3280714.02500000
