2020-07-22 17:00:00,509.50000000,845.00000000,509.50000000,529.32000000,9085.38992000
2020-07-23 17:00:00,530.15000000,553.00000000,503.11000000,514.00000000,2393.36207000
2020-07-24 17:00:00,514.00000000,536.86000000,498.53000000,525.43000000,1704.52818000
2020-07-25 17:00:00,525.25000000,552.57000000,511.70000000,521.46000000,1785.90235000
2020-07-26 17:00:00,520.59000000,530.86000000,501.69000000,509.07000000,1627.76829000
2020-07-27 17:00:00,510.76000000,519.58000000,498.00000000,516.68000000,905.44999000
2020-07-28 17:00:00,517.58000000,549.00000000,512.00000000,544.84000000,1517.14304000
2020-07-29 17:00:00,544.93000000,578.34000000,534.62000000,572.22000000,2457.57003000
2020-07-30 17:00:00,572.39000000,574.76000000,552.69000000,555.17000000,1172.60762000
2020-07-31 17:00:00,555.29000000,598.77000000,551.74000000,594.69000000,1944.67198000
2020-08-01 17:00:00,594.69000000,631.34000000,529.00000000,567.72000000,2949.63491000
2020-08-02 17:00:00,566.96000000,607.83000000,566.71000000,593.00000000,1031.74562000
2020-08-03 17:00:00,593.00000000,612.23000000,577.79000000,584.49000000,1558.03534000
2020-08-04 17:00:00,584.56000000,599.74000000,581.47000000,592.67000000,600.58339000
2020-08-05 17:00:00,592.67000000,594.30000000,577.32000000,586.70000000,772.49443000
2020-08-06 17:00:00,585.93000000,593.37000000,562.54000000,579.36000000,835.98288000
2020-08-07 17:00:00,579.44000000,586.19000000,574.88000000,582.48000000,429.79237000
2020-08-08 17:00:00,583.55000000,597.78000000,581.15000000,595.78000000,1173.10211000
2020-08-09 17:00:00,596.38000000,634.16000000,596.21000000,623.18000000,2794.19341000
2020-08-10 17:00:00,623.62000000,627.52000000,581.38000000,599.75000000,2709.99998000
2020-08-11 17:00:00,599.74000000,841.00000000,599.73000000,719.99000000,16802.01714000
2020-08-12 17:00:00,719.99000000,875.00000000,688.37000000,789.72000000,32845.87810000
2020-08-13 17:00:00,789.72000000,814.76000000,717.78000000,729.14000000,9359.24730000
2020-08-14 17:00:00,729.21000000,731.78000000,680.00000000,695.59000000,5691.97169000
2020-08-15 17:00:00,694.12000000,705.33000000,683.41000000,693.27000000,2800.09057000
2020-08-16 17:00:00,693.48000000,728.69000000,680.00000000,686.00000000,5664.16441000
2020-08-17 17:00:00,685.18000000,693.81000000,645.01000000,674.86000000,3928.30457000
2020-08-18 17:00:00,674.75000000,683.31000000,622.00000000,648.90000000,5216.07360000
2020-08-19 17:00:00,649.48000000,697.97000000,646.35000000,661.69000000,4491.17533000
2020-08-20 17:00:00,661.54000000,671.29000000,601.50000000,603.17000000,4996.22357000
2020-08-21 17:00:00,603.37000000,650.66000000,593.59000000,642.87000000,7824.11616000
2020-08-22 17:00:00,642.80000000,650.30000000,621.36000000,638.49000000,2805.33554000
2020-08-23 17:00:00,638.71000000,696.35000000,635.91000000,677.33000000,7761.75368000
2020-08-24 17:00:00,677.17000000,678.41000000,609.65000000,638.10000000,7333.41816000
2020-08-25 17:00:00,638.09000000,655.00000000,629.00000000,640.77000000,5185.20344000
2020-08-26 17:00:00,640.77000000,646.02000000,609.25000000,614.97000000,3986.94846000
2020-08-27 17:00:00,617.99000000,636.78000000,610.63000000,635.96000000,3682.24313000
2020-08-28 17:00:00,636.30000000,644.52000000,629.17000000,631.21000000,2524.58011000
