2021-12-09 16:00:00,1.22000000,5.00000000,1.22000000,1.82600000,65293697.28000000
2021-12-10 16:00:00,1.82300000,2.17700000,1.77200000,1.87900000,18380585.07000000
2021-12-11 16:00:00,1.87900000,1.99700000,1.79100000,1.85000000,5496512.66000000
2021-12-12 16:00:00,1.84800000,1.88400000,1.34700000,1.41700000,8636991.62000000
2021-12-13 16:00:00,1.42200000,1.56500000,1.35000000,1.41900000,4751274.82000000
2021-12-14 16:00:00,1.41800000,2.07600000,1.41800000,1.75600000,32041417.07000000
2021-12-15 16:00:00,1.75400000,1.93900000,1.68100000,1.72500000,8239817.40000000
2021-12-16 16:00:00,1.72700000,1.75300000,1.51100000,1.59800000,3608393.52000000
2021-12-17 16:00:00,1.59400000,1.69700000,1.53900000,1.60000000,2563809.72000000
2021-12-18 16:00:00,1.60200000,1.65000000,1.57000000,1.57300000,1500117.40000000
2021-12-19 16:00:00,1.57400000,1.60900000,1.46100000,1.51700000,2047071.66000000
2021-12-20 16:00:00,1.51900000,1.83800000,1.51800000,1.73700000,3439373.50000000
2021-12-21 16:00:00,1.73900000,1.78400000,1.60800000,1.61900000,3067819.70000000
2021-12-22 16:00:00,1.61900000,1.75000000,1.57700000,1.68100000,2353817.05000000
2021-12-23 16:00:00,1.68300000,2.20000000,1.64800000,2.06500000,10805878.49000000
2021-12-24 16:00:00,2.06500000,2.95000000,2.03000000,2.39400000,32353426.63000000
2021-12-25 16:00:00,2.39500000,2.55000000,2.16400000,2.46100000,9435060.46000000
2021-12-26 16:00:00,2.46200000,2.54800000,2.25500000,2.29600000,4955982.17000000
2021-12-27 16:00:00,2.29600000,2.31400000,2.05000000,2.09300000,4276056.60000000
2021-12-28 16:00:00,2.09700000,2.14000000,1.88300000,1.92100000,3828849.06000000
2021-12-29 16:00:00,1.91700000,2.34800000,1.89400000,2.07400000,7871474.17000000
2021-12-30 16:00:00,2.07400000,2.49000000,2.07000000,2.39500000,8603742.25000000
2021-12-31 16:00:00,2.40100000,2.52700000,2.28900000,2.40000000,3310823.52000000
2022-01-01 16:00:00,2.40000000,3.42500000,2.37000000,2.94800000,18227674.25000000
2022-01-02 16:00:00,2.94700000,3.45000000,2.73300000,3.12900000,22137948.29000000
2022-01-03 16:00:00,3.13100000,3.18900000,2.81300000,2.88900000,7097945.86000000
2022-01-04 16:00:00,2.88500000,3.16000000,2.50100000,2.80000000,9143547.97000000
2022-01-05 16:00:00,2.79900000,2.87500000,2.50400000,2.69000000,8590836.52000000
2022-01-06 16:00:00,2.68700000,2.69000000,2.20500000,2.34400000,10318731.14000000
2022-01-07 16:00:00,2.34400000,3.10800000,2.31200000,2.70700000,28562973.70000000
2022-01-08 16:00:00,2.70700000,3.08000000,2.66500000,2.85000000,13292759.25000000
2022-01-09 16:00:00,2.84900000,2.93600000,2.37100000,2.57000000,10753369.35000000
2022-01-10 16:00:00,2.57000000,2.78600000,2.51800000,2.68900000,5794546.22000000
2022-01-11 16:00:00,2.68500000,3.05000000,2.68300000,3.04100000,7146555.28000000
2022-01-12 16:00:00,3.04000000,3.05000000,2.73300000,2.77100000,6241221.20000000
2022-01-13 16:00:00,2.76900000,2.89300000,2.62600000,2.79200000,5135083.12000000
2022-01-14 16:00:00,2.79300000,2.80900000,2.72000000,2.74200000,2570490.91000000
2022-01-15 16:00:00,2.74100000,2.74900000,2.62200000,2.65000000,3598937.23000000
2022-01-16 16:00:00,2.65000000,2.65800000,2.29800000,2.39300000,6693799.59000000
2022-01-17 16:00:00,2.39200000,2.49000000,2.15000000,2.22800000,4827864.54000000
2022-01-18 16:00:00,2.23000000,2.25200000,2.01200000,2.10500000,4726399.28000000
2022-01-19 16:00:00,2.10400000,2.51200000,2.05000000,2.12800000,9932416.39000000
2022-01-20 16:00:00,2.12200000,2.39600000,1.62000000,1.71400000,21627607.14000000
2022-01-21 16:00:00,1.71100000,1.76000000,1.29200000,1.48000000,15827099.04000000
2022-01-22 16:00:00,1.47500000,1.68900000,1.43600000,1.57400000,9117432.03000000
2022-01-23 16:00:00,1.57300000,1.57400000,1.27800000,1.49300000,10796990.99000000
2022-01-24 16:00:00,1.49500000,1.57400000,1.38700000,1.48300000,5271418.47000000
2022-01-25 16:00:00,1.48500000,1.71500000,1.47100000,1.57000000,9434329.38000000
2022-01-26 16:00:00,1.57400000,1.59900000,1.45500000,1.52200000,4704676.37000000
2022-01-27 16:00:00,1.52100000,1.62700000,1.46800000,1.56600000,4460302.44000000
2022-01-28 16:00:00,1.56600000,1.68000000,1.55300000,1.62400000,3798043.66000000
2022-01-29 16:00:00,1.62500000,1.65700000,1.50300000,1.54200000,3170063.24000000
2022-01-30 16:00:00,1.54500000,1.55700000,1.45900000,1.55400000,2735932.57000000
2022-01-31 16:00:00,1.55100000,1.59300000,1.50200000,1.52900000,2709097.70000000
2022-02-01 16:00:00,1.53000000,1.63300000,1.45300000,1.48300000,4756602.10000000
2022-02-02 16:00:00,1.48300000,1.51900000,1.39400000,1.46100000,2998879.50000000
2022-02-03 16:00:00,1.45900000,1.60200000,1.42100000,1.59800000,4146849.45000000
2022-02-04 16:00:00,1.60000000,1.68000000,1.55700000,1.59400000,3293892.09000000
2022-02-05 16:00:00,1.59600000,1.90000000,1.58000000,1.78600000,11613698.34000000
2022-02-06 16:00:00,1.78600000,2.06500000,1.76000000,1.92700000,8514603.18000000
2022-02-07 16:00:00,1.92900000,2.06400000,1.76100000,1.87400000,4703264.11000000
2022-02-08 16:00:00,1.87400000,1.91200000,1.78500000,1.86900000,2991891.08000000
2022-02-09 16:00:00,1.86800000,1.90000000,1.69100000,1.73400000,3483861.43000000
2022-02-10 16:00:00,1.73100000,1.79400000,1.55300000,1.58400000,2847708.68000000
2022-02-11 16:00:00,1.58300000,1.74900000,1.47500000,1.59500000,6301495.15000000
2022-02-12 16:00:00,1.59500000,1.77400000,1.57500000,1.65900000,4645965.04000000
2022-02-13 16:00:00,1.65900000,1.69500000,1.57400000,1.62200000,3243944.53000000
2022-02-14 16:00:00,1.62400000,1.78300000,1.61900000,1.75500000,3334198.45000000
2022-02-15 16:00:00,1.75300000,1.75500000,1.64200000,1.72100000,1993107.22000000
2022-02-16 16:00:00,1.72600000,1.72800000,1.54000000,1.56400000,2702878.21000000
2022-02-17 16:00:00,1.56600000,1.61100000,1.49600000,1.51300000,2303270.40000000
2022-02-18 16:00:00,1.51300000,1.54900000,1.47200000,1.50500000,1382443.87000000
2022-02-19 16:00:00,1.50500000,1.51300000,1.31700000,1.35300000,2396832.32000000
2022-02-20 16:00:00,1.35200000,1.48500000,1.31300000,1.31600000,3190670.99000000
2022-02-21 16:00:00,1.31800000,1.41000000,1.26100000,1.36900000,2104300.21000000
2022-02-22 16:00:00,1.36900000,1.43900000,1.34300000,1.35600000,2244253.46000000
2022-02-23 16:00:00,1.35400000,1.35700000,1.13300000,1.26500000,5938589.35000000
2022-02-24 16:00:00,1.26600000,1.46400000,1.24600000,1.40300000,4663424.24000000
2022-02-25 16:00:00,1.40400000,1.47500000,1.37400000,1.38900000,2427680.82000000
2022-02-26 16:00:00,1.39000000,1.43600000,1.27700000,1.31100000,2364680.59000000
2022-02-27 16:00:00,1.30700000,1.56600000,1.29000000,1.50600000,3159141.54000000
2022-02-28 16:00:00,1.50600000,1.56000000,1.47600000,1.53700000,3106816.63000000
2022-03-01 16:00:00,1.53800000,1.56300000,1.44300000,1.48000000,2623589.47000000
2022-03-02 16:00:00,1.48000000,1.51900000,1.39500000,1.44000000,2350180.75000000
2022-03-03 16:00:00,1.43900000,1.44100000,1.31600000,1.34400000,2309953.62000000
2022-03-04 16:00:00,1.34600000,1.41000000,1.31300000,1.40000000,1547619.81000000
2022-03-05 16:00:00,1.40000000,1.42500000,1.33000000,1.34400000,1350176.42000000
2022-03-06 16:00:00,1.34200000,1.42900000,1.31300000,1.32800000,1941905.39000000
2022-03-07 16:00:00,1.32700000,1.36700000,1.30000000,1.32100000,1946675.16000000
2022-03-08 16:00:00,1.32000000,1.42900000,1.31600000,1.37300000,2069942.63000000
2022-03-09 16:00:00,1.37300000,1.47700000,1.31600000,1.45200000,4014980.28000000
2022-03-10 16:00:00,1.45300000,1.67800000,1.38200000,1.38400000,13561801.02000000
2022-03-11 16:00:00,1.38300000,1.55500000,1.38100000,1.49000000,5059613.79000000
2022-03-12 16:00:00,1.49100000,1.53100000,1.41000000,1.42500000,2564738.05000000
2022-03-13 17:00:00,1.42500000,1.44200000,1.38200000,1.41900000,1497085.30000000
2022-03-14 17:00:00,1.41900000,1.43600000,1.36300000,1.40600000,1572028.84000000
2022-03-15 17:00:00,1.40700000,1.48800000,1.39100000,1.44400000,2575139.94000000
2022-03-16 17:00:00,1.44400000,1.48000000,1.42100000,1.43700000,1416931.74000000
