2021-11-22 16:00:00,2.44000000,3.35000000,2.44000000,2.73900000,13052993.29000000
2021-11-23 16:00:00,2.73900000,3.26000000,2.61700000,3.02000000,10374040.82000000
2021-11-24 16:00:00,3.02000000,3.40400000,2.68000000,2.89200000,8052809.19000000
2021-11-25 16:00:00,2.89500000,2.95400000,2.30800000,2.39900000,4999420.06000000
2021-11-26 16:00:00,2.40200000,2.47200000,2.26900000,2.39800000,2658592.04000000
2021-11-27 16:00:00,2.39300000,2.53800000,2.08900000,2.52100000,4259847.48000000
2021-11-28 16:00:00,2.52700000,2.52900000,2.32200000,2.42500000,3170085.86000000
2021-11-29 16:00:00,2.42700000,2.59600000,2.32000000,2.37100000,3604320.61000000
2021-11-30 16:00:00,2.37700000,2.53500000,2.22000000,2.24100000,3107642.12000000
2021-12-01 16:00:00,2.24000000,2.56700000,2.07200000,2.36900000,3904674.95000000
2021-12-02 16:00:00,2.36500000,2.45000000,1.98300000,2.07800000,1898374.60000000
2021-12-03 16:00:00,2.07800000,2.10000000,1.33000000,1.97200000,4517264.09000000
2021-12-04 16:00:00,1.96600000,1.97500000,1.55000000,1.63000000,2747126.06000000
2021-12-05 16:00:00,1.62900000,1.71000000,1.38800000,1.63900000,1752245.79000000
2021-12-06 16:00:00,1.63700000,1.72000000,1.59900000,1.63800000,682285.06000000
2021-12-07 16:00:00,1.64300000,1.66800000,1.50800000,1.58800000,1402834.30000000
2021-12-08 16:00:00,1.58700000,1.64600000,1.46800000,1.47000000,1146034.15000000
2021-12-09 16:00:00,1.46900000,1.51300000,1.35700000,1.40100000,2513594.67000000
2021-12-10 16:00:00,1.40100000,1.49800000,1.40100000,1.45000000,1446633.09000000
2021-12-11 16:00:00,1.45200000,1.57000000,1.42800000,1.49500000,2998265.13000000
2021-12-12 16:00:00,1.49200000,1.50600000,1.27600000,1.28800000,1251996.40000000
2021-12-13 16:00:00,1.28600000,1.34500000,1.17200000,1.30100000,2409972.88000000
2021-12-14 16:00:00,1.30100000,1.40200000,1.17700000,1.39700000,2273207.53000000
2021-12-15 16:00:00,1.39900000,1.52300000,1.36900000,1.37800000,1487610.34000000
2021-12-16 16:00:00,1.37300000,1.42200000,1.28700000,1.36900000,949259.54000000
2021-12-17 16:00:00,1.36900000,1.44800000,1.33600000,1.42400000,643487.20000000
2021-12-18 16:00:00,1.42900000,1.49000000,1.38000000,1.38600000,745672.52000000
2021-12-19 16:00:00,1.38600000,1.41300000,1.26800000,1.33800000,608955.25000000
2021-12-20 16:00:00,1.33500000,1.42500000,1.29800000,1.41000000,626204.52000000
2021-12-21 16:00:00,1.41200000,1.48900000,1.41200000,1.46400000,870111.86000000
2021-12-22 16:00:00,1.45900000,1.67800000,1.42300000,1.67200000,1475839.32000000
2021-12-23 16:00:00,1.67200000,1.94200000,1.60400000,1.67800000,5883032.71000000
2021-12-24 16:00:00,1.67200000,1.77600000,1.64400000,1.72900000,1416272.21000000
2021-12-25 16:00:00,1.73200000,1.85100000,1.66700000,1.74100000,1041457.70000000
2021-12-26 16:00:00,1.74100000,1.76500000,1.69000000,1.71800000,616635.88000000
2021-12-27 16:00:00,1.71300000,1.71300000,1.48300000,1.50500000,939865.23000000
2021-12-28 16:00:00,1.50900000,1.53400000,1.38100000,1.41200000,846291.07000000
2021-12-29 16:00:00,1.41400000,1.46300000,1.36300000,1.42700000,717486.63000000
2021-12-30 16:00:00,1.42600000,1.50800000,1.39700000,1.42800000,1013006.91000000
2021-12-31 16:00:00,1.42600000,1.46100000,1.41800000,1.45800000,414761.35000000
2022-01-01 16:00:00,1.45900000,1.61600000,1.43800000,1.54200000,1360645.50000000
2022-01-02 16:00:00,1.53800000,1.64000000,1.46800000,1.49800000,1559421.36000000
2022-01-03 16:00:00,1.50200000,1.57500000,1.44700000,1.45700000,775162.29000000
2022-01-04 16:00:00,1.45800000,1.52300000,1.25200000,1.32700000,1471360.55000000
2022-01-05 16:00:00,1.32400000,1.34100000,1.21000000,1.30600000,5505506.26000000
2022-01-06 16:00:00,1.30400000,1.30600000,1.17000000,1.20600000,1659056.09000000
2022-01-07 16:00:00,1.20600000,1.23500000,1.11400000,1.14700000,1496147.56000000
2022-01-08 16:00:00,1.14900000,1.19200000,1.13300000,1.17100000,675882.89000000
2022-01-09 16:00:00,1.17200000,1.18300000,1.00600000,1.09000000,1224878.37000000
2022-01-10 16:00:00,1.09200000,1.14600000,1.03400000,1.13100000,1124999.67000000
2022-01-11 16:00:00,1.13100000,1.20500000,1.10300000,1.20100000,1086994.11000000
2022-01-12 16:00:00,1.20100000,1.21300000,1.12800000,1.13000000,1386358.36000000
2022-01-13 16:00:00,1.13100000,1.14500000,1.08200000,1.12800000,1121315.86000000
2022-01-14 16:00:00,1.12900000,1.14300000,1.10800000,1.12500000,447651.75000000
2022-01-15 16:00:00,1.12500000,1.14400000,1.10600000,1.12900000,734298.79000000
2022-01-16 16:00:00,1.13100000,1.13200000,1.04700000,1.07100000,1807832.36000000
2022-01-17 16:00:00,1.07100000,1.08300000,0.99500000,1.02200000,827086.52000000
2022-01-18 16:00:00,1.02300000,1.02400000,0.94000000,0.96100000,1055075.92000000
2022-01-19 16:00:00,0.96200000,1.01500000,0.89100000,0.90100000,1150293.58000000
2022-01-20 16:00:00,0.90000000,0.92600000,0.76800000,0.80000000,2969557.84000000
2022-01-21 16:00:00,0.80000000,0.80800000,0.62400000,0.70400000,3320349.65000000
2022-01-22 16:00:00,0.70500000,0.79900000,0.69400000,0.75300000,3060395.80000000
2022-01-23 16:00:00,0.75200000,0.80100000,0.66400000,0.77800000,2910637.66000000
2022-01-24 16:00:00,0.77800000,0.84000000,0.75800000,0.82200000,2117087.73000000
2022-01-25 16:00:00,0.82100000,0.88900000,0.79700000,0.83400000,1705637.24000000
2022-01-26 16:00:00,0.83500000,0.87400000,0.80400000,0.86200000,1369347.49000000
2022-01-27 16:00:00,0.86300000,0.96000000,0.85500000,0.93300000,3068526.32000000
2022-01-28 16:00:00,0.93100000,0.96000000,0.89700000,0.93000000,795349.68000000
2022-01-29 16:00:00,0.93000000,0.96000000,0.88600000,0.90900000,1212205.70000000
2022-01-30 16:00:00,0.90800000,0.94800000,0.85800000,0.93400000,866460.15000000
2022-01-31 16:00:00,0.92900000,0.94400000,0.91000000,0.92300000,494537.68000000
2022-02-01 16:00:00,0.92300000,0.93200000,0.87100000,0.87400000,557692.44000000
