2020-08-31 17:00:00,6.08000000,15.97000000,6.08000000,8.80400000,8172284.23900000
2020-09-01 17:00:00,8.80600000,9.50000000,5.94400000,7.24500000,11293501.26400000
2020-09-02 17:00:00,7.24200000,8.94500000,4.56000000,4.86000000,14760107.92200000
2020-09-03 17:00:00,4.86000000,5.77300000,4.30000000,4.56200000,11142693.31900000
2020-09-04 17:00:00,4.56100000,5.05900000,1.31100000,1.88400000,48547457.47400000
2020-09-05 17:00:00,1.88500000,3.50000000,1.13000000,3.17100000,95427415.49900000
2020-09-06 17:00:00,3.17600000,3.38000000,2.18000000,2.85000000,50877821.17600000
2020-09-07 17:00:00,2.85100000,2.97000000,2.28000000,2.37400000,27337787.40700000
2020-09-08 17:00:00,2.37500000,3.18800000,2.15300000,2.88000000,38425426.53600000
2020-09-09 17:00:00,2.87700000,3.14500000,2.25000000,2.38100000,34906807.70300000
2020-09-10 17:00:00,2.38300000,2.94500000,2.02800000,2.71100000,44851135.67700000
2020-09-11 17:00:00,2.71400000,2.73000000,2.30600000,2.62900000,34128562.65400000
2020-09-12 17:00:00,2.62900000,2.64500000,2.18000000,2.32900000,19611441.94500000
2020-09-13 17:00:00,2.32800000,2.66400000,2.14100000,2.46200000,27596631.46200000
2020-09-14 17:00:00,2.46100000,2.64000000,1.67900000,1.75700000,46952316.60500000
2020-09-15 17:00:00,1.75700000,1.85000000,1.46400000,1.51800000,24325497.34100000
2020-09-16 17:00:00,1.51900000,1.65600000,1.31900000,1.53400000,26410234.88400000
2020-09-17 17:00:00,1.53500000,1.87500000,1.53000000,1.69400000,35026833.61100000
2020-09-18 17:00:00,1.69400000,1.94800000,1.60400000,1.77500000,24543400.68200000
2020-09-19 17:00:00,1.77500000,1.93500000,1.57300000,1.64200000,23131230.80700000
2020-09-20 17:00:00,1.64400000,1.75000000,1.34900000,1.41100000,17956521.94000000
2020-09-21 17:00:00,1.41200000,1.46300000,1.32100000,1.39100000,13042320.61300000
2020-09-22 17:00:00,1.39000000,1.45200000,1.21500000,1.26900000,25049977.03500000
2020-09-23 17:00:00,1.27000000,1.47800000,1.24500000,1.41100000,18707194.73700000
2020-09-24 17:00:00,1.41000000,1.45000000,1.33300000,1.40300000,12729370.02600000
2020-09-25 17:00:00,1.40500000,1.44300000,1.35100000,1.39500000,9236067.55600000
2020-09-26 17:00:00,1.39500000,1.45000000,1.32400000,1.36900000,7500802.89300000
2020-09-27 17:00:00,1.36900000,1.39400000,1.25000000,1.27100000,8124207.76800000
2020-09-28 17:00:00,1.26700000,1.28800000,1.19600000,1.25400000,9617591.86800000
2020-09-29 17:00:00,1.25300000,1.32600000,1.23700000,1.28300000,8414892.72400000
2020-09-30 17:00:00,1.28300000,1.35000000,1.20400000,1.25100000,7570278.70200000
